category,classId,chineseName,scientificName,chineseCommonName
bird,b00077,黃山雀,Parus holsti,
bird,b00078,黃嘴角鴞,Otus spilocephalus,
bird,b00079,領角鴞,Otus lettia,
bird,b00080,蘭嶼角鴞,Otus elegans,優雅角鴞
bird,b00081,朱鸝,Oriolus traillii,
bird,b00082,夜鷺,Nycticorax nycticorax,
bird,b00083,中杓鷸,Numenius phaeopus,
bird,b00084,大杓鷸,Numenius arquata,白腰杓鷸
bird,b00085,星鴉,Nucifraga caryocatactes,
bird,b00086,褐鷹鴞,Ninox japonica,北鷹鴞
bird,b00087,黃腹琉璃,Niltava vivida,棕腹藍仙鶲，黃腹仙鶲
bird,b00088,臺灣紫嘯鶇,Myophonus insularis,
bird,b00089,白斑紫嘯鶇,Myophonus caeruleus,
bird,b00090,紅尾鶲,Muscicapa ferruginea,棕尾褐鶲
bird,b00091,東方黃鶺鴒,Motacilla tschutschensis,
bird,b00092,灰鶺鴒,Motacilla cinerea,
bird,b00093,白鶺鴒,Motacilla alba,
bird,b00094,藍磯鶇,Monticola solitarius,
bird,b00095,大彎嘴,Megapomatorhinus erythrocnemis,臺灣斑胸鈎嘴鶥
bird,b00096,長尾鳩,Macropygia tenuirostris,菲律賓鵑鳩
bird,b00097,藍腹鷴,Lophura swinhoii,
bird,b00098,白腰文鳥,Lonchura striata,
bird,b00099,斑文鳥,Lonchura punctulata,
bird,b00100,北蝗鶯,Locustella ochotensis,
bird,b00101,茅斑蝗鶯,Locustella lanceolata,
bird,b00102,臺灣叢樹鶯,Locustella alishanensis,褐色叢樹鶯，臺灣短翅鶯
bird,b00103,黃痣藪鶥,Liocichla steerii,黃胸藪鶥，藪鳥
bird,b00104,半蹼鷸,Limnodromus semipalmatus,
bird,b00105,紅尾伯勞,Lanius cristatus,
bird,b00106,栗小鷺,Ixobrychus cinnamomeus,栗葦鳽
bird,b00107,林鵰,Ictinaetus malayensis,
bird,b00108,紅嘴黑鵯,Hypsipetes leucocephalus,黑短腳鵯
bird,b00109,棕耳鵯,Hypsipetes amaurotis,栗耳短腳鵯
bird,b00110,黑枕藍鶲,Hypothymis azurea,黑枕王鶲
bird,b00111,小鶯,Horornis fortipes,強腳樹鶯
bird,b00112,遠東樹鶯,Horornis borealis,滿洲樹鶯
bird,b00113,深山鶯,Horornis acanthizoides,黃腹樹鶯
bird,b00114,洋燕,Hirundo tahitica,
bird,b00115,家燕,Hirundo rustica,
bird,b00116,高蹺鴴,Himantopus himantopus,黑翅長腳鷸
bird,b00117,鷹鵑,Hierococcyx sparverioides,
bird,b00118,白耳畫眉,Heterophasia auricularis,臺灣白耳奇鶥
bird,b00119,栗背短腳鵯,Hemixos castanonotus,
bird,b00120,蒼翡翠,Halcyon smyrnensis,白胸翡翠
bird,b00121,白鶴,Grus leucogeranus,西伯利亞鶴
bird,b00122,黑領椋鳥,Gracupica nigricollis,
bird,b00123,黑冠麻鷺,Gorsachius melanolophus,黑冠鳽
bird,b00124,鵂鶹,Glaucidium brodiei,領鵂鶹
bird,b00125,燕鴴,Glareola maldivarum,
bird,b00126,松鴉,Garrulus glandarius,
bird,b00127,臺灣畫眉,Garrulax taewanus,
bird,b00128,臺灣白喉噪眉,Ianthocincla ruficeps,白喉笑鶇
bird,b00129,臺灣棕噪眉,Ianthocincla poecilorhyncha,竹鳥
bird,b00130,中國畫眉,Garrulax canorus,大陸畫眉
bird,b00131,灰胸秧雞,Gallirallus striatus,藍胸秧雞
bird,b00132,紅冠水雞,Gallinula chloropus,黑水雞
bird,b00133,中地鷸,Gallinago megala,中田鷸，大沙錐
bird,b00134,董雞,Gallicrex cinerea,
bird,b00135,褐頭花翼,Fulvetta formosana,紋喉雀鶥
bird,b00136,紅胸鶲,Ficedula parva,紅胸姬鶲
bird,b00137,白眉黃鶲,Ficedula mugimaki,鴝鶲，斑眉姬鶲
bird,b00138,黃胸青鶲,Ficedula hyperythra,棕胸藍姬鶲，黃胸姬鶲
bird,b00139,紅隼,Falco tinnunculus,
bird,b00140,噪鵑,Eudynamys scolopaceus,
bird,b00141,綠畫眉,Erpornis zantholeuca,白腹鳳鶥，綠鳳鶥
bird,b00142,小桑鳲,Eophona migratoria,黑尾蠟嘴雀，小黃嘴雀
bird,b00143,小剪尾,Enicurus scouleri,小燕尾
bird,b00144,野鵐,Emberiza sulphurata,繡眼鵐
bird,b00145,黑臉鵐,Emberiza spodocephala,
bird,b00146,銹鵐,Emberiza rutila,栗鵐
bird,b00147,田鵐,Emberiza rustica,
bird,b00148,小鵐,Emberiza pusilla,
bird,b00149,黃眉鵐,Emberiza chrysophrys,
bird,b00150,金鵐,Emberiza aureola,
bird,b00151,小白鷺,Egretta garzetta,
bird,b00152,大卷尾,Dicrurus macrocercus,黑卷尾
bird,b00153,小卷尾,Dicrurus aeneus,古銅色卷尾
bird,b00154,綠啄花,Dicaeum minullum,純色啄花鳥
bird,b00155,紅胸啄花,Dicaeum ignipectum,
bird,b00156,大赤啄木,Dendrocopos leucotos,白背啄木
bird,b00157,小啄木,Dendrocopos canicapillus,星頭啄木
bird,b00158,樹鵲,Dendrocitta formosae,灰樹鵲
bird,b00159,東方毛腳燕,Delichon dasypus,煙腹毛腳燕
bird,b00160,山紅頭,Cyanoderma ruficeps,紅頭穗鶥
bird,b00161,方尾鶲,Culicicapa ceylonensis,
bird,b00162,小杜鵑,Cuculus poliocephalus,
bird,b00163,北方中杜鵑,Cuculus optatus,
bird,b00164,四聲杜鵑,Cuculus micropterus,
bird,b00165,家烏鴉,Corvus splendens,
bird,b00166,巨嘴鴉,Corvus macrorhynchos,大嘴烏鴉
bird,b00167,花翅山椒鳥,Coracina macei,大鵑鵙
bird,b00168,灰林鴿,Columba pulchricollis,
bird,b00169,冠郭公,Clamator coromandus,紅翅鳳頭鵑，栗翅鳳鵑
bird,b00170,棕扇尾鶯,Cisticola juncidis,
bird,b00171,黃頭扇尾鶯,Cisticola exilis,
bird,b00172,白尾鴝,Cinclidium leucurum,白尾藍地鴝
bird,b00173,鐵嘴鴴,Charadrius leschenaultii,鐵嘴沙鴴
bird,b00174,東方環頸鴴,Charadrius alexandrinus,
bird,b00175,翠翼鳩,Chalcophaps indica,綠背金鳩
bird,b00176,褐翅鴉鵑,Centropus sinensis,
bird,b00177,番鵑,Centropus bengalensis,小鴉鵑
bird,b00178,赤腰燕,Cecropis striolata,
bird,b00179,臺灣朱雀,Carpodacus formosanus,
bird,b00180,臺灣夜鷹,Caprimulgus affinis,林夜鷹，南亞夜鷹
bird,b00181,野鴝,Calliope calliope,紅喉歌鴝
bird,b00182,紅胸濱鷸,Calidris ruficollis,穉鷸，紅頸濱鷸
bird,b00183,小翼鶇,Brachypteryx montana,藍短翅鶇
bird,b00184,白喉短翅鶇,Brachypteryx leucophrys,
bird,b00185,大麻鷺,Botaurus stellaris,大麻鳽
bird,b00186,臺灣竹雞,Bambusicola sonorivox,竹雞，灰胸竹雞
bird,b00187,翻石鷸,Arenaria interpres,
bird,b00188,蒼鷺,Ardea cinerea,
bird,b00189,臺灣山鷓鴣,Arborophila crudigularis,深山竹雞
bird,b00190,小雨燕,Apus nipalensis,小白腰雨燕，家雨燕
bird,b00191,輝椋鳥,Aplonis panayensis,亞洲輝椋鳥
bird,b00192,樹鷚,Anthus hodgsoni,
bird,b00193,白背鷚,Anthus gustavi,
bird,b00194,赤喉鷚,Anthus cervinus,紅喉鷚
bird,b00195,白腹秧雞,Amaurornis phoenicurus,白胸苦惡鳥
bird,b00196,繡眼畫眉,Alcippe morrisonia,繡眼雀鶥
bird,b00197,普通翠鳥,Alcedo atthis,翠鳥
bird,b00198,小雲雀,Alauda gulgula,
bird,b00199,歐亞雲雀,Alauda arvensis,雲雀
bird,b00200,叉尾太陽鳥,Aethopyga christinae,
bird,b00201,紅頭山雀,Aegithalos concinnus,紅頭長尾山雀
bird,b00202,磯鷸,Actitis hypoleucos,
bird,b00203,紋翼畫眉,Actinodura morrisoniana,臺灣斑翅鶥
bird,b00204,東方大葦鶯,Acrocephalus orientalis,
bird,b00205,家八哥,Acridotheres tristis,
bird,b00206,八哥,Acridotheres cristatellus,
bird,b00207,松雀鷹,Accipiter virgatus,
bird,b00208,鳳頭蒼鷹,Accipiter trivirgatus,鳳頭鷹
bird,b00209,棕面鶯,Abroscopus albogularis,棕臉鶲鶯
