category,classId,chineseName,scientificName,chineseCommonName
bird,SYRMIK,黑長尾雉,Syrmaticus mikado,帝雉
bird,SUTVER,黃羽鸚嘴,Suthora verreauxi,金色鴉雀
bird,STUSIN,灰背椋鳥,Sturnia sinensis,噪林鳥
bird,STUMAL,灰頭椋鳥,Sturnia malabarica,
bird,STRTRA,紅鳩,Streptopelia tranquebarica,火斑鳩
bird,STRORI,金背鳩,Streptopelia orientalis,山斑鳩
bird,STEALB,小燕鷗,Sternula albifrons,
bird,SPISEM,白環鸚嘴鵯,Spizixos semitorques,領雀嘴鵯
bird,SPISPI,黃雀,Spinus spinus,
bird,SPICHE,大冠鷲,Spilornis cheela,蛇鵰
bird,STRCHI,珠頸斑鳩,Streptopelia chinensis,
bird,SITCAS,赤腹山雀,Sittiparus castaneoventris,臺灣山雀
bird,SITEUR,茶腹鳾,Sitta europaea,
bird,SINWEB,粉紅鸚嘴,Sinosuthora webbiana,棕頭鴉雀
bird,SCHBRU,頭烏線,Schoeniparus brunnea,褐頂雀鶥
bird,ROSBEN,彩鷸,Rostratula benghalensis,
bird,REGGOO,火冠戴菊,Regulus goodfellowi,臺灣戴菊
bird,RALEUR,灰腳秧雞,Rallina eurizonoides,白喉斑秧雞，灰腳斑秧雞
bird,PYRNIP,褐鷽,Pyrrhula nipalensis,褐灰雀
bird,PYRERY,灰鷽,Pyrrhula erythaca,灰頭灰雀
bird,PYCTAI,烏頭翁,Pycnonotus taivanus,臺灣鵯
bird,PYCSIN,白頭翁,Pycnonotus sinensis,白頭鵯
bird,PSINUC,臺灣擬啄木,Psilopogon nuchalis,五色鳥
bird,PRUCOL,岩鷚,Prunella collaris,領岩鷚
bird,PRIINO,褐頭鷦鶯,Prinia inornata,
bird,PRIFLA,灰頭鷦鶯,Prinia flaviventris,
bird,PRICRI,斑紋鷦鶯,Prinia crinigera,山鷦鶯
bird,POMMUS,小彎嘴,Pomatorhinus musicus,臺灣棕頸鈎嘴鶥
bird,PNOFOR,臺灣鷦眉,Pnoepyga formosana,鱗胸鷦鷯，小鱗胸鷦眉
bird,PITNYM,八色鳥,Pitta nympha,仙八色鶇
bird,PICCAN,綠啄木,Picus canus,灰頭綠啄木
bird,PICPIC,喜鵲,Pica pica,
bird,PHYTRO,暗綠柳鶯,Phylloscopus trochiloides,
bird,PHYTEN,淡腳柳鶯,Phylloscopus tenellipes,
bird,PHYPRO,黃腰柳鶯,Phylloscopus proregulus,
bird,PHYINO,黃眉柳鶯,Phylloscopus inornatus,
bird,PHYFUS,褐色柳鶯,Phylloscopus fuscatus,
bird,PHYEXA,堪察加柳鶯,Phylloscopus examinandus,
bird,PHYBOI,庫頁島柳鶯,Phylloscopus borealoides,
bird,PHYBIS,極北柳鶯,Phylloscopus borealis,
bird,PHOFUL,鉛色水鶇,Phoenicurus fuliginosus,
bird,PHOAUR,黃尾鴝,Phoenicurus auroreus,北紅尾鴝
bird,PHACOL,環頸雉,Phasianus colchicus,
bird,PARATE,煤山雀,Parus ater,
bird,PERFLA,赤紅山椒鳥,Pericrocotus flammeus,
bird,PERSOL,灰喉山椒鳥,Pericrocotus solaris,
bird,PASRUT,山麻雀,Passer rutilans,
bird,PASMON,麻雀,Passer montanus,樹麻雀
bird,PARMON,青背山雀,Parus monticolus,綠背山雀
bird,PARHOL,黃山雀,Parus holsti,
bird,OTUSPI,黃嘴角鴞,Otus spilocephalus,
bird,OTULET,領角鴞,Otus lettia,
bird,OTUELE,蘭嶼角鴞,Otus elegans,優雅角鴞
bird,ORITRA,朱鸝,Oriolus traillii,
bird,NYCNYC,夜鷺,Nycticorax nycticorax,
bird,NUMPHA,中杓鷸,Numenius phaeopus,
bird,NUMARQ,大杓鷸,Numenius arquata,白腰杓鷸
bird,NUCCAR,星鴉,Nucifraga caryocatactes,
bird,NINJAP,褐鷹鴞,Ninox japonica,北鷹鴞
bird,NILVIV,黃腹琉璃,Niltava vivida,棕腹藍仙鶲，黃腹仙鶲
bird,MYOINS,臺灣紫嘯鶇,Myophonus insularis,
bird,MYOCAE,白斑紫嘯鶇,Myophonus caeruleus,
bird,MUSFER,紅尾鶲,Muscicapa ferruginea,棕尾褐鶲
bird,MOTTSC,東方黃鶺鴒,Motacilla tschutschensis,
bird,MOTCIN,灰鶺鴒,Motacilla cinerea,
bird,MOTALB,白鶺鴒,Motacilla alba,
bird,MONSOL,藍磯鶇,Monticola solitarius,
bird,MEGERY,大彎嘴,Megapomatorhinus erythrocnemis,臺灣斑胸鈎嘴鶥
bird,MACTEN,長尾鳩,Macropygia tenuirostris,菲律賓鵑鳩
bird,LOPSWI,藍腹鷴,Lophura swinhoii,
bird,LONSTR,白腰文鳥,Lonchura striata,
bird,LONPUN,斑文鳥,Lonchura punctulata,
bird,LOCOCH,北蝗鶯,Locustella ochotensis,
bird,LOCIAN,茅斑蝗鶯,Locustella lanceolata,
bird,LOCALI,臺灣叢樹鶯,Locustella alishanensis,褐色叢樹鶯，臺灣短翅鶯
bird,LIOSTE,黃痣藪鶥,Liocichla steerii,黃胸藪鶥，藪鳥
bird,LIMSEM,半蹼鷸,Limnodromus semipalmatus,
bird,LANCRI,紅尾伯勞,Lanius cristatus,
bird,IXOCIN,栗小鷺,Ixobrychus cinnamomeus,栗葦鳽
bird,ICTMAL,林鵰,Ictinaetus malayensis,
bird,HYPLEU,紅嘴黑鵯,Hypsipetes leucocephalus,黑短腳鵯
bird,HYPAMA,棕耳鵯,Hypsipetes amaurotis,栗耳短腳鵯
bird,HYPAZU,黑枕藍鶲,Hypothymis azurea,黑枕王鶲
bird,HORFOR,小鶯,Horornis fortipes,強腳樹鶯
bird,HORBOR,遠東樹鶯,Horornis borealis,滿洲樹鶯
bird,HORACA,深山鶯,Horornis acanthizoides,黃腹樹鶯
bird,HIRTAH,洋燕,Hirundo tahitica,
bird,HIRRUS,家燕,Hirundo rustica,
bird,HIMHIM,高蹺鴴,Himantopus himantopus,黑翅長腳鷸
bird,HIESPA,鷹鵑,Hierococcyx sparverioides,
bird,HETAUR,白耳畫眉,Heterophasia auricularis,臺灣白耳奇鶥
bird,HEMCAS,栗背短腳鵯,Hemixos castanonotus,
bird,HALSMY,蒼翡翠,Halcyon smyrnensis,白胸翡翠
bird,GRULEU,白鶴,Grus leucogeranus,西伯利亞鶴
bird,GRANIG,黑領椋鳥,Gracupica nigricollis,
bird,GORMEL,黑冠麻鷺,Gorsachius melanolophus,黑冠鳽
bird,GLABRO,鵂鶹,Glaucidium brodiei,領鵂鶹
bird,GLAMAL,燕鴴,Glareola maldivarum,
bird,GARGLA,松鴉,Garrulus glandarius,
bird,GARTAE,臺灣畫眉,Garrulax taewanus,
bird,IANRUF,臺灣白喉噪眉,Ianthocincla ruficeps,白喉笑鶇
bird,IANPOE,臺灣棕噪眉,Ianthocincla poecilorhyncha,竹鳥
bird,GARCAN,中國畫眉,Garrulax canorus,大陸畫眉
bird,GALSTR,灰胸秧雞,Gallirallus striatus,藍胸秧雞
bird,GALCHL,紅冠水雞,Gallinula chloropus,黑水雞
bird,GALMEG,中地鷸,Gallinago megala,中田鷸，大沙錐
bird,GALCIN,董雞,Gallicrex cinerea,
bird,FULFOR,褐頭花翼,Fulvetta formosana,紋喉雀鶥
bird,FICPAR,紅胸鶲,Ficedula parva,紅胸姬鶲
bird,FICMUG,白眉黃鶲,Ficedula mugimaki,鴝鶲，斑眉姬鶲
bird,FICHYP,黃胸青鶲,Ficedula hyperythra,棕胸藍姬鶲，黃胸姬鶲
bird,FALTIN,紅隼,Falco tinnunculus,
bird,EUDSCO,噪鵑,Eudynamys scolopaceus,
bird,ERPZAN,綠畫眉,Erpornis zantholeuca,白腹鳳鶥，綠鳳鶥
bird,EOPMIG,小桑鳲,Eophona migratoria,黑尾蠟嘴雀，小黃嘴雀
bird,ENISCO,小剪尾,Enicurus scouleri,小燕尾
bird,EMBSUL,野鵐,Emberiza sulphurata,繡眼鵐
bird,EMBSPO,黑臉鵐,Emberiza spodocephala,
bird,EMBRUT,銹鵐,Emberiza rutila,栗鵐
bird,EMBRUS,田鵐,Emberiza rustica,
bird,EMBPUS,小鵐,Emberiza pusilla,
bird,EMBCHR,黃眉鵐,Emberiza chrysophrys,
bird,EMBAUR,金鵐,Emberiza aureola,
bird,EGRGAR,小白鷺,Egretta garzetta,
bird,DICMAC,大卷尾,Dicrurus macrocercus,黑卷尾
bird,DICAEN,小卷尾,Dicrurus aeneus,古銅色卷尾
bird,DICMIN,綠啄花,Dicaeum minullum,純色啄花鳥
bird,DICIGN,紅胸啄花,Dicaeum ignipectum,
bird,DENLEU,大赤啄木,Dendrocopos leucotos,白背啄木
bird,DENCAN,小啄木,Dendrocopos canicapillus,星頭啄木
bird,DENFOR,樹鵲,Dendrocitta formosae,灰樹鵲
bird,DELDAS,東方毛腳燕,Delichon dasypus,煙腹毛腳燕
bird,CYARUF,山紅頭,Cyanoderma ruficeps,紅頭穗鶥
bird,CULCEY,方尾鶲,Culicicapa ceylonensis,
bird,CUCPOL,小杜鵑,Cuculus poliocephalus,
bird,CUCOPT,北方中杜鵑,Cuculus optatus,
bird,CUCMIC,四聲杜鵑,Cuculus micropterus,
bird,CORSPL,家烏鴉,Corvus splendens,
bird,CORMAC,巨嘴鴉,Corvus macrorhynchos,大嘴烏鴉
bird,CORMAC,花翅山椒鳥,Coracina macei,大鵑鵙
bird,COLPUL,灰林鴿,Columba pulchricollis,
bird,CLACOR,冠郭公,Clamator coromandus,紅翅鳳頭鵑，栗翅鳳鵑
bird,CISJUN,棕扇尾鶯,Cisticola juncidis,
bird,CISEXI,黃頭扇尾鶯,Cisticola exilis,
bird,CINLEU,白尾鴝,Cinclidium leucurum,白尾藍地鴝
bird,CHALES,鐵嘴鴴,Charadrius leschenaultii,鐵嘴沙鴴
bird,CHAALE,東方環頸鴴,Charadrius alexandrinus,
bird,CHAIND,翠翼鳩,Chalcophaps indica,綠背金鳩
bird,CENSIN,褐翅鴉鵑,Centropus sinensis,
bird,CENBEN,番鵑,Centropus bengalensis,小鴉鵑
bird,CECSTR,赤腰燕,Cecropis striolata,
bird,CARFOR,臺灣朱雀,Carpodacus formosanus,
bird,CAPAFF,臺灣夜鷹,Caprimulgus affinis,林夜鷹，南亞夜鷹
bird,CALCAL,野鴝,Calliope calliope,紅喉歌鴝
bird,CALRUF,紅胸濱鷸,Calidris ruficollis,穉鷸，紅頸濱鷸
bird,BRAMON,小翼鶇,Brachypteryx montana,藍短翅鶇
bird,BRALEU,白喉短翅鶇,Brachypteryx leucophrys,
bird,BOTSTE,大麻鷺,Botaurus stellaris,大麻鳽
bird,BAMSON,臺灣竹雞,Bambusicola sonorivox,竹雞，灰胸竹雞
bird,AREINT,翻石鷸,Arenaria interpres,
bird,ARDCIN,蒼鷺,Ardea cinerea,
bird,ARBCRU,臺灣山鷓鴣,Arborophila crudigularis,深山竹雞
bird,APUNIP,小雨燕,Apus nipalensis,小白腰雨燕，家雨燕
bird,APLPAN,輝椋鳥,Aplonis panayensis,亞洲輝椋鳥
bird,ANTHOD,樹鷚,Anthus hodgsoni,
bird,ANTGUS,白背鷚,Anthus gustavi,
bird,ANTCER,赤喉鷚,Anthus cervinus,紅喉鷚
bird,AMAPHO,白腹秧雞,Amaurornis phoenicurus,白胸苦惡鳥
bird,ALCMOR,繡眼畫眉,Alcippe morrisonia,繡眼雀鶥
bird,ALCATT,普通翠鳥,Alcedo atthis,翠鳥
bird,ALAGUL,小雲雀,Alauda gulgula,
bird,ALAARV,歐亞雲雀,Alauda arvensis,雲雀
bird,AETCHR,叉尾太陽鳥,Aethopyga christinae,
bird,AEGCON,紅頭山雀,Aegithalos concinnus,紅頭長尾山雀
bird,ACTHYP,磯鷸,Actitis hypoleucos,
bird,ACTMOR,紋翼畫眉,Actinodura morrisoniana,臺灣斑翅鶥
bird,ACRORI,東方大葦鶯,Acrocephalus orientalis,
bird,ACRTRI,家八哥,Acridotheres tristis,
bird,ACRCRI,八哥,Acridotheres cristatellus,
bird,ACCVIR,松雀鷹,Accipiter virgatus,
bird,ACCTRI,鳳頭蒼鷹,Accipiter trivirgatus,鳳頭鷹
bird,ABRALB,棕面鶯,Abroscopus albogularis,棕臉鶲鶯
